id,Statement,Image,Web,Category,Date,Label
2,"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931075-aarogya-setu-who.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
3,"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931068-pax.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
4,LAC tensions: China's strategy behind deliberately failing talks with India,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931063-china-army-along-ladakh-lac.jpg,DNAINDIA,TERROR,Oct-20,TRUE
5,India has signed 250 documents on Space cooperation with 59 countries: ISRO chief,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931064-k-sivan.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
6,Tamil Nadu chief minister's mother passes away at 93,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931044-ops-mother.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
7,Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur ,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931041-tej-pratap-yadav-rabri-devi.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
8,"Hathras case: CBI reaches victim's village, visits crime scene",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931043-hathras-cbi.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
9,"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931025-murder.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
10,"Mumbai: BMC to book, penalise people stepping out without face masks",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931026-face-masks.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
11,"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931014-covid.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
12,"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931008-delhi-air-pollutionpti.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
13,Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931003-jp-nadda.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
14,PM Modi releases Balasaheb Vikhe Patil's autobiography,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/13/931035-modi.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
15,"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930946-928103-714082-470103-india-post.jpg,DNAINDIA,TERROR,Oct-20,TRUE
16,Mumbai power outage: Fire reported in hospital,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930918-hospital.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
17,"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095 ",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930906-covid-19.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
18,Indian exports to Armenia increased three-fold in past three years,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930877-india-armenia-trade.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
19,"7 Indian hostages freed in Libya, all in good health: MEA",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930885-img-20201012-wa0105.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
20,"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930867-rajnath-singh.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
21,Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930850-927197-encounter-new.jpg,DNAINDIA,TERROR,Oct-20,TRUE
22,"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930835-thackeray.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
23,"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930829-mumbai-power.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
24,Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930803-kushboo-sundar.jpg,DNAINDIA,TERROR,Oct-20,TRUE
25,Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930802-medical.jpeg,DNAINDIA,COVID-19,Oct-20,TRUE
26,"Mumbai suffers major power outage, local train services affected",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930791-power-cut.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
27,"India, China to hold 7th Corps Commander-level talks today at Chushul",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930789-india-china-disengagement.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
28,"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930785-harassment.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
29,"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930781-rape-file.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
30,Seven Indians kidnapped in Libya in September released,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930775-libya-men.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
31,"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930773-hathras.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
32,Delhi government exempts road tax for battery operated vehicles,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/12/930769-electric-buses.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
