Statement,Label
who praises india s aarogya setu app says it helped in identifying covid clusters,1
in delhi deputy us secretary of state stephen biegun pitches for pax indo pacifica,1
lac tensions china s strategy behind deliberately failing talks with india,1
india has signed documents on space cooperation with countries isro chief,1
tamil nadu chief minister s mother passes away at,1
bihar assembly election this is why tej pratap shifted from mahua to hasanpur,1
hathras case cbi reaches victim s village visits crime scene,1
rajasthan crime news after karauli another elderly beaten to death in sikar five youths in custody,1
mumbai bmc to book penalise people stepping out without face masks,1
covid india s single day spike drops to as tally approaches lakh,1
amid stubble burning delhi s air quality deteriorates to very poor,1
bihar assembly elections bjp expels nine rebels for contesting elections against nda candidates,1
pm modi releases balasaheb vikhe patil s autobiography,1
post office recruitment big vacancy of over posts for th pass check eligibility pay scale,1
mumbai power outage fire reported in hospital,1
tamil nadu covid recoveries touch six lakh mark active cases at,1
indian exports to armenia increased three fold in past three years,1
indian hostages freed in libya all in good health mea,1
defence minister rajnath singh inaugurates strategic bridges built by bro in ladakh alone,1
jammu and kashmir top let terrorist saifullah killed in encounter with security forces,1
aarey metro car shed relocated to kanjurmarg land to be available free of cost uddhav thackeray,1
mumbai outage after major blackout power supply restored in most areas thackeray orders probe,1
who is kushboo sundar all you need to know about the south superstar who turned politician,1
mumbai power outage bmc instructs hospitals to get enough diesel for at least hours,1
mumbai suffers major power outage local train services affected,1
india china to hold th corps commander level talks today at chushul,1
minor raped at jhansi polytechnic college incident filmed by students,1
bihar woman gang raped thrown into river with year old son child drowns,1
seven indians kidnapped in libya in september released,1
amid tight security hathras victim s family leave for lucknow to appear before bench of allahabad high court,1
delhi government exempts road tax for battery operated vehicles,1
another lockdown puja festivities in delhi to take a blow govt disallows fairs and processions,1
bihar assembly election bjp releases list of star campaigners pm modi and jp nadda top in list,1
andhra govt complains to cji against alleged intervention by sitting sc judge,1
j k pakistan violates ceasefire in poonch indian army replies befittingly,1
indian railways upgradation plan ac coaches to replace general and sleeper coaches in high speed trains,1
as covid cases surge among teachers week holiday for karnataka schools from october,1
amazon great indian festival sale to last till diwali heavy discounts of upto percent on offer,1
jharkhand jmm leader shankar rawani wife found murdered at residence in dhanbad,1
bjp releases list of candidates for by elections in states,1
no god says to celebrate a festival ostentatiously harsh vardhan warns against large congregations amidst pandemic,1
congress woman leader beaten up by party workers for questioning decision to field rapist,1
swamitva scheme pm modi launches physical distribution of property cards things to know,1
cbi registers fir against accused in hathras gang rape case takes over investigation,1
police must adhere to norms centre issues fresh advisory to states on women safety amid hathras outrage,1
in an attempt to check rising price of pulses centre to offer urad tur at subsidised rates,1
svamitva scheme pm modi to launch physical distribution of property cards on oct,1
assam kamakhya temple to open for devotees from today,1
hathras gang rape case transferred to cbi fir to be filed soon,1
assam to close down all state run madrassas from november himanta biswa sarma,1
unlock schools in uttar pradesh to reopen from october read rules and regulations here,1
bihar assembly election congress releases list of star campaigners,1
last rites of ram vilas paswan performed in patna with full state honours,1
du admission delhi university releases first cut off list check du ac in,1
renewal of international driving licence to become easier centre mulls changes in motor vehicles rules,1
nitish kumar humiliated my father chirag paswan in open letter to jp nadda,1
book cancel train tickets minutes before departure new rule comes into effect october,1
ec issues revised guidelines for upcoming polls limits number of star campaigners,1
goa becomes first har ghar jal state by providing tap water connections in rural areas,1
last rites of ram vilas paswan to take place in patna today with full state honours,1
odisha by polls for balasore tirtol constituencies to be held on nov results on nov,1
dna special how adulterated vegetables are affecting our health well being,1
woman dies in freak accident in hyderabad after hair gets stuck in go kart wheel,1
rajasthan bjp slams state govt for priest s brutal killing karauli dholpur mp manoj rajoria to meet kin tomorrow,1
more trouble for arnab goswami as mumbai crime branch summons top republic tv official,1
shiv sena leader sanjay raut lauds mumbai police s courageous step of busting rs crore trp scam,1
west bengal man arrested with firearm in bjp rally controversy erupts over his turban being pulled out,1
rajasthan temple priest set on fire in karauli over land dispute accused arrested,1
kerala padmanabhaswamy temple closed for darshan till oct after priests test covid positive,1
pm modi to launch physical distribution of property cards under svamitva scheme on october,1
piyush goyal gets additional charge of ministry of consumer affairs food and public distribution,1
president pm modi others pay last respects to former minister ram vilas paswan,1
india reports new cases deaths tally breaches lakh mark,1
to curb air pollution action plan to be implemented from october in delhi ncr,1
covid cases in delhi may surge to per day in winters report,1
dna special trp racket is big bad blot on journalism,1
national flag to fly at half mast on friday as mark of respect to ram vilas paswan,1
union minister ram vilas paswan dies days after heart surgery,1
reforms in education labour agriculture impact almost every indian pm modi,1
nabanno chalo bjp slams bengal police for using chemical filled water cannons mamata govt refutes charges,1
bengal bjp workers clash with police during nabanna chalo protest march crowd dispersed with lathi charge,1
mumbai police exposes racket to manipulate trps two arrested republic tv on its radar,1
new delhi lucknow tejas express to operate from october know train journey guidelines book your ticket on irctc,1
hathras victim deserves justice not slander priyanka gandhi,1
indian air force day virat kohli pays tribute to nation s heroes,1
iaf displays prowess on th air force day coas says ready to safeguard india in all circumstances,1
noida s jewar international airport will open floodgates of development in western uttar pradesh here s how,1
revised unlock guidelines home ministry issues fresh sops for political gatherings in election states,1
india takes strong punch at pakistan calls for strong action against terrorism supporters,1
amid covid crisis maharashtra becomes first state to regulate prices of masks,1
us election kamala pence debate opens with clash over trump administration s covid response,1
dna special detailed analysis of rahul gandhi s claim of throwing chinese army out in minutes,1
mother baby die during quack assisted delivery in noida bodies dumped,1
taiwan tells china to get lost after chinese mission asks indian media to follow one china policy,1
all you need to know about high security registration plate and colour coded stickers,1
former cbi director ashwani kumar found hanging in shimla home say cops,1
zee news editor in chief sudhir chaudhary gets call from pakistan again,1
atal tunnel after accidents in hours new rules come into effect,1
railway ministry s private player train project receives applications for clusters check full details,1
india believes indigenous defence capabilities are foundations to peace rajnath singh,1
navratri up cm yogi adityanath takes this big decision for women safety,1
income tax raids in patna sasaram and varanasi rs crore seized,1
bro builds india s longest steel bridge on manali leh highway,1
cabinet approves to complete kolkata east west metro corridor project by for rs crores,1
